page,chapter,section,project_name,budget_2026_text,budget_2026_man_yen,budget_2025_text,budget_2025_man_yen,budget_diff_man_yen,budget_change_rate_pct,department,account_or_code,purpose,main_actions,major_expenses_prev
5,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,山林維持管理事業,"1,418万円",1418,"1,097万円",1097.0,321.0,29.2616226071103,産業振興課,01-06-02-02-10,鳥獣等による森林被害の防止を図るとともに、森林整備の遅れている民 有林の整備を行う。,鳥獣等による森林被害の防止 / 森林整備の遅れている民有林の整備,森林整備計画調査委託料 198万円 / 有害鳥獣駆除委託料 147万円 / ライフライン等保全対策業務委託料 220万円
5,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,間伐対策事業,81万円,81,－,,,,産業振興課,01-06-02-02-12,補助金を交付することにより民有林の間伐の促進を図る。,間伐施業に対する補助金の交付,間伐対策事業補助金 81万円
6,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,信州産ペレット消費拡大事業,20万円,20,20万円,20.0,0.0,0.0,産業振興課,01-06-02-02-14,長野県の林業及び木材産業の振興並びに県産材の利用促進や健全な 森林の育成及び地球温暖化防止のための森林整備等の観点から、ペ レットストーブを設置した事業実施主体者に補助金を交付する。,ペレットストーブ設置者に対する補助金の交付,木質バイオマス循環利用普及促進事業補助金 20万円
6,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,町有林整備事業,393万円,393,443万円,443.0,-50.0,-11.286681715575622,産業振興課,01-06-02-03-10,森林の有する多面的機能を総括的、且つ高度に発揮するため、適切な森 林整備の実施により健全な森林資源としての町有林の維持造成を推進す る。,町有林の整備（下刈・間伐・枝打ち）,造林事業委託料 372万円 / 消耗品費 13万円
6,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,林道維持管理事業,839万円,839,"1,783万円",1783.0,-944.0,-52.94447560291643,産業振興課,01-06-02-04-10,森林の持つ木材の生産、治山・治水等多面的機能の維持増進のために森林整備の基盤施設である林内路 網について、路面や法面の維持管理を行う。,林道・作業道の補修・整備,林道萩倉線改良工事測量設計委託料 51万円 / 林道維持管理委託料 69万円 / 林道維持補修工事費 354万円 / 林道萩倉線改良工事費 280万円 / 補修用資材代 31万円
7,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,環境関係基礎調査事業,173万円,173,173万円,173.0,0.0,0.0,住民環境課,01-04-01-07-10,環境保全の基礎となる河川地下水の水質測定、自動車交通等に伴う騒音振動測定等を実施し、住民生活の 安心確保や良好な生活環境の保持を図る。,基礎調査の実施,水質検査委託料 102万円 / 騒音等測定解析委託料 72万円
7,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,水産業振興事業,100万円,100,100万円,100.0,0.0,0.0,産業振興課,01-06-03-01-10,水産振興のため魚類の増殖及び外来魚駆除を支援することで、ワカサギを始めとした水産資源を確保する。,実施団体に対する補助金の交付,諏訪湖漁業協同組合補助金 100万円
7,自然やもののいのちを大切にし、美しく豊かなまち,自然環境の保全,地球温暖化対策事業,466万円,466,521万円,521.0,-55.0,-10.556621880998081,住民環境課,01-04-01-07-16,地球温暖化対策のための施策を検討するとともに、家庭などでの町民の 取り組みの推進を図る。 施,地球温暖化対策の周知・啓発、イベント等の実,家庭用ゼロカーボン補助金 300万円 / 事業者用ゼロカーボン補助金 100万円 / 温泉熱事業技術提案報酬金 12万円
8,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,車両購入経費,179万円,179,126万円,126.0,53.0,42.06349206349206,総務課,01-02-01-05-12,車両更新計画に基づき、公用車両の計画的な更新を行う。 車両の更新にあたっては可能な限り低公害車を選定し、省エネルギーの推進を図る。,低公害車導入による省エネルギーの推進,測量委託料 204万円 / 消耗品費 4万円
8,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,施設管理費,372万円,372,372万円,372.0,0.0,0.0,総務課,01-02-01-04-12,町が保有する普通財産を一括管理することにより、効率的な財産管理を行う。,普通財産の一括管理 / 指定管理者制度の活用,火災保険料 110万円 / 修繕料 100万円 / 友之町駐車場管理委託料 96万円
8,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,登記事務経費,207万円,207,342万円,342.0,-135.0,-39.473684210526315,総務課,01-02-01-04-14,道水路内民地や民地内道水路の適切な登記を行うことにより、町有財産の明確化を図る。,適切な登記処理事務の実施,車両購入費 177万円 / 自動車損害保険料 2万円
9,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,町営住宅管理費,12万円,12,12万円,12.0,0.0,0.0,総務課,01-08-05-01-10,町民に低廉な価格で住宅の提供を行う。,町営住宅の維持管理,修繕料 9万円 / 補修用資材代 2万円 / 火災保険料 1万円
9,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,駐車場事業,735万円,735,695万円,695.0,40.0,5.755395683453238,総務課,駐車場事業特別会計,安心安全で暮らしやすい生活基盤の充実とまち歩き観光の拠点として、公 営駐車場の管理運営を行う。,町営四ツ角駐車場の管理運営,四ツ角駐車場管理補助委託料 346万円 / 駐車場用地借上料 270万円 / 町債償還元金 64万円
9,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,一般経費(都市計画総務費),"1,278万円",1278,"1,055万円",1055.0,223.0,21.137440758293838,建設水道課,01-08-04-01-05,都市計画法に基づく手続きや調査を行うことで都市の健全な発展と秩序ある整備を図るとともに、都市計画基本図や都 市計画決定情報のデジタル化及び更新を行うことで横断的な利用促進を図る。また、立地適正化計画に基づき「コンパク ト・プラス・ネットワークのまちづくり」を推進することで持続可能な都市運営を図る。 都市計画決定情報のデジタル化 組の検討,都市計画法関係手続き及び都市計画基本図や / 立地適正化計画による制度の適切な運用と取,都市計画基礎調査委託料 754万円 / 用途地域変更業務委託料 264万円 / 地域開発整備基金積立金 114万円
10,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,一般経費(財産管理費),"1,902万円",1902,"1,808万円",1808.0,94.0,5.199115044247788,総務課,01-02-01-04-05,財産管理等に関わる保険加入や庁舎宿直業務等の委託を行うことにより、安心安全な施設利用を図る。 土地開発公社に対する借入利子補助及び用地取得を行い、土地開発公社の将来負担軽減を図る。,保険加入・庁舎宿直業務等の委託 / 土地開発公社に対する借入利子補助 / 土地開発公社保有地の取得,宿直業務委託料 773万円 / 事務機器借上料 475万円 / 町土地開発公社借入利子補助金 189万円 / 総合賠償補償保険料 165万円 / 公共施設整備基金利子積立金 116万円
10,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,街なみ環境整備事業,352万円,352,"1,644万円",1644.0,-1292.0,-78.58880778588808,建設水道課,01-08-04-05-10,地域住民との協働により当町特有の歴史・文化を継承しつつ、歴史的な 街なみの環境を良好に維持または潤いある住環境を整備する。またそれ による波及的効果でまちの活性化を図る。 整備,歴史的景観に資する施設及び住宅等住環境の,街づくり協議会活動助成金 40万円 / 街なみ環境整備事業（修景施設整備）補助金 300万円 / 消耗品費 12万円
10,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,グランドデザイン策定事業,557万円,557,719万円,719.0,-162.0,-22.531293463143253,総合政策課,01-08-04-05-14,将来まちのあるべき姿（まちづくりの基本方針）について、住民、事業者、 学生、行政が一体となって議論・検討し、誰もが認識できるよう各地区の 将来像をデザイン化（グランドデザイン）する。 業の推進,関係者との連携によるグランドデザイン策定事,事業協力者等謝礼 22万円 / グランドデザイン策定委託料 535万円
11,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,バイパス対策事業,"1,497万円",1497,192万円,192.0,1305.0,679.6875,建設水道課,01-08-04-04-10,バイパスの整備による交通の円滑化や防災性の向上、観光産業や経済活 動の活性化など複合的な効果の発現により安全で快適な地域生活の実 現を目指す。 事業化区間の早期工事着手,国道２０号下諏訪岡谷バイパスの早期開通 / 国道２０号諏訪バイパスの早期全線事業化及び,"地籍調査業務委託料 1,315万円 / 資料作成委託料 96万円"
11,自然やもののいのちを大切にし、美しく豊かなまち,生活基盤の充実,都市計画道路事業,"7,868万円",7868,"1億1,414万円",11414.0,-3546.0,-31.06711056597161,建設水道課,01-08-04-06-10,赤砂東山田線整備により下諏訪岡谷バイパスと中心市街地・湖岸地区を 結ぶ南北の幹線道路が完成し、交通円滑化や防災力向上に加え、観光や 地域経済の活性化など多面的な効果が期待される。,赤砂東山田線の整備促進 / 赤砂東山田線関連事業の実施,"赤砂東山田線事業関連用地購入費 265万円 / 赤砂東山田線街路事業地元負担金 7,600万円"
